
 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 0 Msg Type: 2
ID: 5 Msg Type: 1
ID: 0 Msg Type: 3
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 4 Msg Type: 2
ID: 8 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 5 Msg Type: 3
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 7 Msg Type: 2
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 3 Msg Type: 3
ID: 7 Msg Type: 3
ID: 6 Msg Type: 2
ID: 8 Msg Type: 2
ID: 11 Msg Type: 1
ID: 6 Msg Type: 3
ID: 8 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 10 Msg Type: 2
ID: 13 Msg Type: 1
ID: 9 Msg Type: 3
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 14 Msg Type: 1
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 15 Msg Type: 1
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 2
ID: 15 Msg Type: 3
ID: 14 Msg Type: 3
Fill/encryption time total: 53785957
Sending first message: 1692719141424
Sending last message: 1692719149158
Data send time total: 7734318
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 0 Msg Type: 2
ID: 4 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 1 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 2 Msg Type: 2
ID: 3 Msg Type: 2
ID: 8 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 9 Msg Type: 1
ID: 5 Msg Type: 2
ID: 10 Msg Type: 1
ID: 4 Msg Type: 3
ID: 11 Msg Type: 1
ID: 5 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 7 Msg Type: 2
ID: 7 Msg Type: 3
ID: 13 Msg Type: 1
ID: 8 Msg Type: 2
ID: 9 Msg Type: 3
ID: 14 Msg Type: 1
ID: 8 Msg Type: 3
ID: 15 Msg Type: 1
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 6 Msg Type: 2
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 3
ID: 6 Msg Type: 3
ID: 11 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 52765485
Sending first message: 1692719494053
Sending last message: 1692719501548
Data send time total: 7495557
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 4 Msg Type: 2
ID: 8 Msg Type: 1
ID: 4 Msg Type: 3
ID: 0 Msg Type: 2
ID: 9 Msg Type: 1
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 1 Msg Type: 2
ID: 2 Msg Type: 2
ID: 11 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 3
ID: 12 Msg Type: 1
ID: 5 Msg Type: 2
ID: 3 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 3 Msg Type: 3
ID: 7 Msg Type: 2
ID: 14 Msg Type: 1
ID: 9 Msg Type: 2
ID: 6 Msg Type: 3
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 7 Msg Type: 3
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 10 Msg Type: 3
ID: 13 Msg Type: 2
ID: 8 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 11 Msg Type: 2
ID: 14 Msg Type: 3
ID: 11 Msg Type: 3
ID: 15 Msg Type: 2
ID: 12 Msg Type: 2
ID: 15 Msg Type: 3
ID: 12 Msg Type: 3
Fill/encryption time total: 53559060
Sending first message: 1692720064576
Sending last message: 1692720075765
Data send time total: 11188739
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 0 Msg Type: 2
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 9 Msg Type: 1
ID: 3 Msg Type: 3
ID: 10 Msg Type: 1
ID: 5 Msg Type: 2
ID: 11 Msg Type: 1
ID: 5 Msg Type: 3
ID: 12 Msg Type: 1
ID: 13 Msg Type: 1
ID: 4 Msg Type: 2
ID: 14 Msg Type: 1
ID: 4 Msg Type: 3
ID: 9 Msg Type: 2
ID: 15 Msg Type: 1
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 6 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 8 Msg Type: 2
ID: 11 Msg Type: 3
ID: 7 Msg Type: 3
ID: 8 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 53152790
Sending first message: 1692720417540
Sending last message: 1692720425199
Data send time total: 7659546
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 0 Msg Type: 2
ID: 4 Msg Type: 1
ID: 0 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 1 Msg Type: 2
ID: 7 Msg Type: 1
ID: 1 Msg Type: 3
ID: 8 Msg Type: 1
ID: 2 Msg Type: 2
ID: 9 Msg Type: 1
ID: 4 Msg Type: 2
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 11 Msg Type: 1
ID: 5 Msg Type: 3
ID: 12 Msg Type: 1
ID: 3 Msg Type: 2
ID: 13 Msg Type: 1
ID: 3 Msg Type: 3
ID: 14 Msg Type: 1
ID: 15 Msg Type: 1
ID: 12 Msg Type: 2
ID: 6 Msg Type: 2
ID: 13 Msg Type: 2
ID: 7 Msg Type: 2
ID: 12 Msg Type: 3
ID: 6 Msg Type: 3
ID: 13 Msg Type: 3
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 14 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 14 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 11 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 53304154
Sending first message: 1692720997147
Sending last message: 1692721005233
Data send time total: 8085627
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 0 Msg Type: 2
ID: 7 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 8 Msg Type: 1
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 6 Msg Type: 2
ID: 3 Msg Type: 2
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 6 Msg Type: 3
ID: 3 Msg Type: 3
ID: 11 Msg Type: 1
ID: 12 Msg Type: 1
ID: 13 Msg Type: 1
ID: 4 Msg Type: 2
ID: 5 Msg Type: 2
ID: 14 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 3
ID: 15 Msg Type: 1
ID: 7 Msg Type: 2
ID: 9 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 3
ID: 8 Msg Type: 2
ID: 10 Msg Type: 2
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 8 Msg Type: 3
ID: 11 Msg Type: 3
ID: 15 Msg Type: 2
ID: 12 Msg Type: 2
ID: 15 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
Fill/encryption time total: 53407745
Sending first message: 1692721350375
Sending last message: 1692721358367
Data send time total: 7991854
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 2 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 10 Msg Type: 1
ID: 3 Msg Type: 3
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 2
ID: 15 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 8 Msg Type: 2
ID: 14 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 14 Msg Type: 3
ID: 11 Msg Type: 2
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 10 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 54247967
