
 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 10 Msg Type: 1
ID: 1 Msg Type: 2
ID: 11 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 3 Msg Type: 3
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 9 Msg Type: 2
ID: 15 Msg Type: 1
ID: 10 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 3
ID: 8 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 8 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 31645324
Sending first message: 1692718724313
Sending last message: 1692718728681
Data send time total: 4368859
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 2 Msg Type: 2
ID: 4 Msg Type: 2
ID: 7 Msg Type: 1
ID: 2 Msg Type: 3
ID: 4 Msg Type: 3
ID: 8 Msg Type: 1
ID: 5 Msg Type: 2
ID: 3 Msg Type: 2
ID: 0 Msg Type: 2
ID: 5 Msg Type: 3
ID: 9 Msg Type: 1
ID: 6 Msg Type: 2
ID: 3 Msg Type: 3
ID: 10 Msg Type: 1
ID: 0 Msg Type: 3
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 11 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 8 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 9 Msg Type: 3
ID: 13 Msg Type: 1
ID: 10 Msg Type: 2
ID: 14 Msg Type: 1
ID: 10 Msg Type: 3
ID: 15 Msg Type: 1
ID: 11 Msg Type: 2
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 32351404
Sending first message: 1692719039877
Sending last message: 1692719046993
Data send time total: 7116091
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 0 Msg Type: 2
ID: 3 Msg Type: 3
ID: 9 Msg Type: 1
ID: 4 Msg Type: 2
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 7 Msg Type: 2
ID: 4 Msg Type: 3
ID: 2 Msg Type: 2
ID: 11 Msg Type: 1
ID: 7 Msg Type: 3
ID: 2 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 9 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 5 Msg Type: 2
ID: 8 Msg Type: 2
ID: 15 Msg Type: 1
ID: 5 Msg Type: 3
ID: 8 Msg Type: 3
ID: 10 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 2
ID: 15 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 11 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 3
ID: 11 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
Fill/encryption time total: 31725632
Sending first message: 1692719767123
Sending last message: 1692719771963
Data send time total: 4839464
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 8 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 9 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 3
ID: 8 Msg Type: 2
ID: 11 Msg Type: 1
ID: 8 Msg Type: 3
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 4 Msg Type: 2
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 7 Msg Type: 2
ID: 4 Msg Type: 3
ID: 10 Msg Type: 3
ID: 5 Msg Type: 2
ID: 6 Msg Type: 3
ID: 14 Msg Type: 1
ID: 11 Msg Type: 2
ID: 7 Msg Type: 3
ID: 12 Msg Type: 2
ID: 5 Msg Type: 3
ID: 11 Msg Type: 3
ID: 15 Msg Type: 1
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 31778904
Sending first message: 1692719962709
Sending last message: 1692719967018
Data send time total: 4309254
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 1 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 2 Msg Type: 3
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 3 Msg Type: 3
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 7 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 3
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 11 Msg Type: 2
ID: 13 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 3
ID: 12 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 31549490
Sending first message: 1692720698056
Sending last message: 1692720702441
Data send time total: 4384918
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 9 Msg Type: 1
ID: 0 Msg Type: 2
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 1 Msg Type: 3
ID: 11 Msg Type: 1
ID: 2 Msg Type: 2
ID: 12 Msg Type: 1
ID: 3 Msg Type: 2
ID: 7 Msg Type: 2
ID: 2 Msg Type: 3
ID: 4 Msg Type: 2
ID: 13 Msg Type: 1
ID: 3 Msg Type: 3
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 4 Msg Type: 3
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 5 Msg Type: 2
ID: 11 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 2
ID: 15 Msg Type: 1
ID: 9 Msg Type: 3
ID: 12 Msg Type: 2
ID: 5 Msg Type: 3
ID: 11 Msg Type: 3
ID: 6 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 10 Msg Type: 2
ID: 10 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 2
ID: 15 Msg Type: 3
ID: 14 Msg Type: 3
Fill/encryption time total: 32364652
Sending first message: 1692720895919
Sending last message: 1692720900343
Data send time total: 4424584
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 9 Msg Type: 1
ID: 0 Msg Type: 2
ID: 2 Msg Type: 2
ID: 0 Msg Type: 3
ID: 2 Msg Type: 3
ID: 10 Msg Type: 1
ID: 11 Msg Type: 1
ID: 12 Msg Type: 1
ID: 3 Msg Type: 2
ID: 5 Msg Type: 2
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 13 Msg Type: 1
ID: 4 Msg Type: 3
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 14 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 15 Msg Type: 1
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 14 Msg Type: 2
ID: 10 Msg Type: 3
ID: 14 Msg Type: 3
ID: 11 Msg Type: 2
ID: 15 Msg Type: 2
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 15 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
Fill/encryption time total: 31685516
