
 Running on port 18601
Sending first message: 1692721621889
Sending last message: 1692721626261
Data send time total: 4372038
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 4 Msg Type: 2
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 2 Msg Type: 3
ID: 4 Msg Type: 3
ID: 9 Msg Type: 1
ID: 0 Msg Type: 2
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 5 Msg Type: 2
ID: 11 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 3 Msg Type: 2
ID: 12 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 3 Msg Type: 3
ID: 13 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 14 Msg Type: 1
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 15 Msg Type: 1
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 9 Msg Type: 3
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 11 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 31868761
Sending first message: 1692721817540
Sending last message: 1692721822372
Data send time total: 4831461
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 2 Msg Type: 2
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 9 Msg Type: 1
ID: 0 Msg Type: 2
ID: 3 Msg Type: 3
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 1 Msg Type: 2
ID: 11 Msg Type: 1
ID: 1 Msg Type: 3
ID: 12 Msg Type: 1
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 4 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 4 Msg Type: 3
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 11 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 3
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 10 Msg Type: 2
ID: 14 Msg Type: 3
ID: 10 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 31227305
Sending first message: 1692722543164
Sending last message: 1692722548169
Data send time total: 5004474
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 0 Msg Type: 2
ID: 6 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 7 Msg Type: 1
ID: 2 Msg Type: 2
ID: 1 Msg Type: 3
ID: 8 Msg Type: 1
ID: 2 Msg Type: 3
ID: 9 Msg Type: 1
ID: 6 Msg Type: 2
ID: 6 Msg Type: 3
ID: 3 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 3
ID: 11 Msg Type: 1
ID: 5 Msg Type: 2
ID: 12 Msg Type: 1
ID: 9 Msg Type: 2
ID: 5 Msg Type: 3
ID: 4 Msg Type: 2
ID: 13 Msg Type: 1
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 11 Msg Type: 2
ID: 4 Msg Type: 3
ID: 10 Msg Type: 3
ID: 14 Msg Type: 1
ID: 11 Msg Type: 3
ID: 15 Msg Type: 1
ID: 7 Msg Type: 2
ID: 13 Msg Type: 2
ID: 7 Msg Type: 3
ID: 13 Msg Type: 3
ID: 8 Msg Type: 2
ID: 14 Msg Type: 2
ID: 8 Msg Type: 3
ID: 14 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 31544151
Sending first message: 1692722739455
Sending last message: 1692722744022
Data send time total: 4566646
ID: -1rs Msg Type: 4
