
 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 15 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 18554625
Sending first message: 1692645206079
Sending last message: 1692645208855
Data send time total: 2776403
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 15 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 12 Msg Type: 3
ID: 15 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 18263338
Sending first message: 1692645391105
Sending last message: 1692645393837
Data send time total: 2731569
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 5 Msg Type: 2
ID: 4 Msg Type: 3
ID: 5 Msg Type: 3
ID: 13 Msg Type: 1
ID: 14 Msg Type: 1
ID: 15 Msg Type: 1
ID: 6 Msg Type: 2
ID: 9 Msg Type: 2
ID: 7 Msg Type: 2
ID: 13 Msg Type: 2
ID: 6 Msg Type: 3
ID: 9 Msg Type: 3
ID: 8 Msg Type: 2
ID: 10 Msg Type: 2
ID: 7 Msg Type: 3
ID: 13 Msg Type: 3
ID: 8 Msg Type: 3
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 14 Msg Type: 2
ID: 11 Msg Type: 3
ID: 14 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 18519063
Sending first message: 1692646671451
Sending last message: 1692646674139
Data send time total: 2687372
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 5 Msg Type: 2
ID: 4 Msg Type: 3
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 7 Msg Type: 2
ID: 6 Msg Type: 3
ID: 15 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 15 Msg Type: 2
ID: 13 Msg Type: 3
ID: 15 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
Fill/encryption time total: 16988836
Sending first message: 1692646854972
Sending last message: 1692646857798
Data send time total: 2826548
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 1 Msg Type: 2
ID: 1 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 2 Msg Type: 2
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 5 Msg Type: 2
ID: 0 Msg Type: 2
ID: 4 Msg Type: 2
ID: 9 Msg Type: 1
ID: 5 Msg Type: 3
ID: 3 Msg Type: 3
ID: 0 Msg Type: 3
ID: 10 Msg Type: 1
ID: 4 Msg Type: 3
ID: 7 Msg Type: 2
ID: 11 Msg Type: 1
ID: 7 Msg Type: 3
ID: 12 Msg Type: 1
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 6 Msg Type: 3
ID: 14 Msg Type: 1
ID: 11 Msg Type: 2
ID: 15 Msg Type: 1
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 10 Msg Type: 2
ID: 8 Msg Type: 2
ID: 15 Msg Type: 2
ID: 10 Msg Type: 3
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 14 Msg Type: 2
ID: 15 Msg Type: 3
ID: 9 Msg Type: 3
ID: 14 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
Fill/encryption time total: 18364013
Sending first message: 1692648159466
Sending last message: 1692648162168
Data send time total: 2702085
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 0 Msg Type: 2
ID: 4 Msg Type: 1
ID: 0 Msg Type: 3
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 9 Msg Type: 1
ID: 6 Msg Type: 2
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 5 Msg Type: 2
ID: 10 Msg Type: 1
ID: 6 Msg Type: 3
ID: 4 Msg Type: 3
ID: 1 Msg Type: 2
ID: 2 Msg Type: 2
ID: 8 Msg Type: 2
ID: 5 Msg Type: 3
ID: 11 Msg Type: 1
ID: 1 Msg Type: 3
ID: 8 Msg Type: 3
ID: 2 Msg Type: 3
ID: 12 Msg Type: 1
ID: 7 Msg Type: 2
ID: 10 Msg Type: 2
ID: 13 Msg Type: 1
ID: 7 Msg Type: 3
ID: 14 Msg Type: 1
ID: 10 Msg Type: 3
ID: 9 Msg Type: 2
ID: 12 Msg Type: 2
ID: 9 Msg Type: 3
ID: 15 Msg Type: 1
ID: 12 Msg Type: 3
ID: 11 Msg Type: 2
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 11 Msg Type: 3
ID: 13 Msg Type: 3
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 18310517
Sending first message: 1692648348914
Sending last message: 1692648351564
Data send time total: 2650508
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 13 Msg Type: 1
ID: 4 Msg Type: 2
ID: 14 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 15 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 8 Msg Type: 2
ID: 10 Msg Type: 2
ID: 7 Msg Type: 3
ID: 8 Msg Type: 3
ID: 10 Msg Type: 3
ID: 9 Msg Type: 2
ID: 11 Msg Type: 2
ID: 12 Msg Type: 2
ID: 9 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 18896553
