
 Running on port 18601
Sending first message: 1692652065593
Sending last message: 1692652073116
Data send time total: 7523320
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 0 Msg Type: 2
ID: 4 Msg Type: 1
ID: 0 Msg Type: 3
ID: 5 Msg Type: 1
ID: 2 Msg Type: 2
ID: 6 Msg Type: 1
ID: 1 Msg Type: 2
ID: 2 Msg Type: 3
ID: 1 Msg Type: 3
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 9 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 10 Msg Type: 1
ID: 5 Msg Type: 2
ID: 4 Msg Type: 3
ID: 11 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 6 Msg Type: 3
ID: 12 Msg Type: 1
ID: 7 Msg Type: 2
ID: 13 Msg Type: 1
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 9 Msg Type: 2
ID: 14 Msg Type: 1
ID: 8 Msg Type: 3
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 9 Msg Type: 3
ID: 15 Msg Type: 1
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 11 Msg Type: 3
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 52905127
Sending first message: 1692652701942
Sending last message: 1692652709564
Data send time total: 7621889
ID: -1rs Msg Type: 4
