
 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 0 Msg Type: 2
ID: 6 Msg Type: 1
ID: 1 Msg Type: 2
ID: 0 Msg Type: 3
ID: 7 Msg Type: 1
ID: 1 Msg Type: 3
ID: 2 Msg Type: 2
ID: 8 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 9 Msg Type: 1
ID: 4 Msg Type: 2
ID: 6 Msg Type: 2
ID: 3 Msg Type: 3
ID: 5 Msg Type: 2
ID: 6 Msg Type: 3
ID: 4 Msg Type: 3
ID: 10 Msg Type: 1
ID: 11 Msg Type: 1
ID: 5 Msg Type: 3
ID: 12 Msg Type: 1
ID: 7 Msg Type: 2
ID: 13 Msg Type: 1
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 10 Msg Type: 2
ID: 14 Msg Type: 1
ID: 11 Msg Type: 2
ID: 9 Msg Type: 2
ID: 10 Msg Type: 3
ID: 8 Msg Type: 3
ID: 15 Msg Type: 1
ID: 9 Msg Type: 3
ID: 11 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 12 Msg Type: 2
ID: 15 Msg Type: 3
ID: 12 Msg Type: 3
Fill/encryption time total: 53831016
Sending first message: 1692645916753
Sending last message: 1692645924543
Data send time total: 7790013
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 1 Msg Type: 2
ID: 4 Msg Type: 1
ID: 1 Msg Type: 3
ID: 5 Msg Type: 1
ID: 0 Msg Type: 2
ID: 0 Msg Type: 3
ID: 3 Msg Type: 2
ID: 6 Msg Type: 1
ID: 4 Msg Type: 2
ID: 2 Msg Type: 2
ID: 3 Msg Type: 3
ID: 7 Msg Type: 1
ID: 5 Msg Type: 2
ID: 2 Msg Type: 3
ID: 8 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 3
ID: 9 Msg Type: 1
ID: 6 Msg Type: 2
ID: 10 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 11 Msg Type: 1
ID: 7 Msg Type: 3
ID: 9 Msg Type: 2
ID: 12 Msg Type: 1
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 8 Msg Type: 2
ID: 13 Msg Type: 1
ID: 11 Msg Type: 2
ID: 10 Msg Type: 3
ID: 14 Msg Type: 1
ID: 8 Msg Type: 3
ID: 11 Msg Type: 3
ID: 12 Msg Type: 2
ID: 15 Msg Type: 1
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 54199909
Sending first message: 1692646543777
Sending last message: 1692646551719
Data send time total: 7941341
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 8 Msg Type: 1
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 0 Msg Type: 2
ID: 2 Msg Type: 2
ID: 10 Msg Type: 1
ID: 0 Msg Type: 3
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 13 Msg Type: 1
ID: 14 Msg Type: 1
ID: 7 Msg Type: 2
ID: 5 Msg Type: 2
ID: 15 Msg Type: 1
ID: 6 Msg Type: 2
ID: 8 Msg Type: 2
ID: 7 Msg Type: 3
ID: 5 Msg Type: 3
ID: 6 Msg Type: 3
ID: 8 Msg Type: 3
ID: 9 Msg Type: 2
ID: 10 Msg Type: 2
ID: 9 Msg Type: 3
ID: 10 Msg Type: 3
ID: 11 Msg Type: 2
ID: 12 Msg Type: 2
ID: 11 Msg Type: 3
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 53712733
Sending first message: 1692647397586
Sending last message: 1692647406013
Data send time total: 8426925
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 2 Msg Type: 2
ID: 1 Msg Type: 3
ID: 10 Msg Type: 1
ID: 2 Msg Type: 3
ID: 3 Msg Type: 2
ID: 11 Msg Type: 1
ID: 3 Msg Type: 3
ID: 4 Msg Type: 2
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 8 Msg Type: 2
ID: 15 Msg Type: 1
ID: 7 Msg Type: 3
ID: 11 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 11 Msg Type: 3
ID: 9 Msg Type: 3
ID: 15 Msg Type: 2
ID: 13 Msg Type: 2
ID: 15 Msg Type: 3
ID: 10 Msg Type: 2
ID: 13 Msg Type: 3
ID: 10 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 14 Msg Type: 2
ID: 14 Msg Type: 3
Fill/encryption time total: 54588480
Sending first message: 1692648030673
Sending last message: 1692648038455
Data send time total: 7782100
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 1 Msg Type: 2
ID: 4 Msg Type: 1
ID: 0 Msg Type: 2
ID: 5 Msg Type: 1
ID: 1 Msg Type: 3
ID: 0 Msg Type: 3
ID: 6 Msg Type: 1
ID: 3 Msg Type: 2
ID: 3 Msg Type: 3
ID: 2 Msg Type: 2
ID: 7 Msg Type: 1
ID: 4 Msg Type: 2
ID: 2 Msg Type: 3
ID: 8 Msg Type: 1
ID: 5 Msg Type: 2
ID: 4 Msg Type: 3
ID: 9 Msg Type: 1
ID: 5 Msg Type: 3
ID: 6 Msg Type: 2
ID: 7 Msg Type: 2
ID: 10 Msg Type: 1
ID: 6 Msg Type: 3
ID: 11 Msg Type: 1
ID: 7 Msg Type: 3
ID: 12 Msg Type: 1
ID: 13 Msg Type: 1
ID: 8 Msg Type: 2
ID: 14 Msg Type: 1
ID: 11 Msg Type: 2
ID: 8 Msg Type: 3
ID: 11 Msg Type: 3
ID: 15 Msg Type: 1
ID: 13 Msg Type: 2
ID: 13 Msg Type: 3
ID: 9 Msg Type: 2
ID: 15 Msg Type: 2
ID: 9 Msg Type: 3
ID: 14 Msg Type: 2
ID: 15 Msg Type: 3
ID: 10 Msg Type: 2
ID: 14 Msg Type: 3
ID: 10 Msg Type: 3
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
Fill/encryption time total: 53725100
Sending first message: 1692650581543
Sending last message: 1692650589343
Data send time total: 7800651
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 1 Msg Type: 3
ID: 3 Msg Type: 2
ID: 10 Msg Type: 1
ID: 6 Msg Type: 2
ID: 3 Msg Type: 3
ID: 2 Msg Type: 2
ID: 4 Msg Type: 2
ID: 11 Msg Type: 1
ID: 6 Msg Type: 3
ID: 7 Msg Type: 2
ID: 9 Msg Type: 2
ID: 4 Msg Type: 3
ID: 2 Msg Type: 3
ID: 5 Msg Type: 2
ID: 12 Msg Type: 1
ID: 7 Msg Type: 3
ID: 9 Msg Type: 3
ID: 5 Msg Type: 3
ID: 8 Msg Type: 2
ID: 13 Msg Type: 1
ID: 10 Msg Type: 2
ID: 14 Msg Type: 1
ID: 10 Msg Type: 3
ID: 8 Msg Type: 3
ID: 15 Msg Type: 1
ID: 12 Msg Type: 2
ID: 12 Msg Type: 3
ID: 13 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 3
ID: 11 Msg Type: 2
ID: 14 Msg Type: 3
ID: 15 Msg Type: 2
ID: 11 Msg Type: 3
ID: 15 Msg Type: 3
Fill/encryption time total: 53631878
Sending first message: 1692651215771
Sending last message: 1692651223598
Data send time total: 7827676
ID: -1rs Msg Type: 4

 Running on port 18601
ID: -1rs Msg Type: 0
ID: 0 Msg Type: 1
ID: 1 Msg Type: 1
ID: 2 Msg Type: 1
ID: 3 Msg Type: 1
ID: 4 Msg Type: 1
ID: 5 Msg Type: 1
ID: 6 Msg Type: 1
ID: 7 Msg Type: 1
ID: 0 Msg Type: 2
ID: 8 Msg Type: 1
ID: 0 Msg Type: 3
ID: 1 Msg Type: 2
ID: 9 Msg Type: 1
ID: 2 Msg Type: 2
ID: 1 Msg Type: 3
ID: 10 Msg Type: 1
ID: 3 Msg Type: 2
ID: 2 Msg Type: 3
ID: 11 Msg Type: 1
ID: 4 Msg Type: 2
ID: 3 Msg Type: 3
ID: 12 Msg Type: 1
ID: 4 Msg Type: 3
ID: 5 Msg Type: 2
ID: 13 Msg Type: 1
ID: 6 Msg Type: 2
ID: 5 Msg Type: 3
ID: 11 Msg Type: 2
ID: 7 Msg Type: 2
ID: 14 Msg Type: 1
ID: 6 Msg Type: 3
ID: 15 Msg Type: 1
ID: 11 Msg Type: 3
ID: 7 Msg Type: 3
ID: 8 Msg Type: 2
ID: 9 Msg Type: 2
ID: 8 Msg Type: 3
ID: 9 Msg Type: 3
ID: 10 Msg Type: 2
ID: 12 Msg Type: 2
ID: 14 Msg Type: 2
ID: 13 Msg Type: 2
ID: 12 Msg Type: 3
ID: 10 Msg Type: 3
ID: 14 Msg Type: 3
ID: 13 Msg Type: 3
ID: 15 Msg Type: 2
ID: 15 Msg Type: 3
Fill/encryption time total: 54155968
